Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_min_0,tm,tm,tm,18.85,16360000,50.26,3394000,0.8947,8.755,0.0003448,4.627e-08,8.812e-05,9.458e-05,-39.67,-47.97,0.0327,0.1635,0.01558,-0.01712,7212000,-8546000,2.5,-2.5
PV_min_1,tm,tm,tm,16.76,14620000,58.93,3386000,1.04,6.887,-0.1881,5.25e-08,0.0001121,0.0001228,-46.75,-58.58,0.02636,0.1318,0.009097,-0.01726,4264000,-4911000,2.25,-2.5
PV_min_2,tm,tm,tm,19.95,18320000,46.62,3399000,0.7819,9.943,0.1829,4.405e-08,7.754e-05,8.194e-05,-35.38,-44.81,0.03677,0.1838,0.02073,-0.01604,10900000,-13650000,2.75,-2.5
PV_min_3,tm,tm,tm,18.22,15070000,55.15,3362000,1.029,8.144,0.2008,4.736e-08,9.251e-05,0.0001016,-39.07,-49.18,0.03053,0.1526,0.01845,-0.01208,7201000,-8854000,2.5,-2.25
PV_min_4,tm,tm,tm,15.95,13500000,63.2,3360000,1.216,6.27,0.0167,5.476e-08,0.00012,0.0001344,-45.85,-61.09,0.02413,0.1206,0.01204,-0.01209,4122000,-4860000,2.25,-2.25
PV_min_5,tm,tm,tm,19.5,16890000,50,3358000,0.8872,9.443,0.3798,4.447e-08,7.977e-05,8.621e-05,-34.85,-45.16,0.03492,0.1746,0.02366,-0.01125,11120000,-13510000,2.75,-2.25
PV_min_6,tm,tm,tm,19.38,17810000,47.41,3419000,0.7881,9.31,-0.2042,4.539e-08,8.423e-05,8.897e-05,-40.28,-46.95,0.03469,0.1735,0.01254,-0.02216,7100000,-7972000,2.5,-2.75
PV_min_7,tm,tm,tm,17.47,15720000,54.84,3407000,0.9038,7.475,-0.3961,5.061e-08,0.0001051,0.0001133,-47.8,-56.27,0.0285,0.1425,0.006046,-0.02245,4363000,-4909000,2.25,-2.75
PV_min_8,tm,tm,tm,20.36,19590000,43.13,3428000,0.6969,10.42,-0.01949,4.373e-08,7.548e-05,7.848e-05,-35.87,-44.52,0.03841,0.192,0.01757,-0.02083,10430000,-13440000,2.75,-2.75
PV_min_9,tm,tm,wp,18.85,16360000,50.26,3394000,0.8947,8.755,0.0003448,4.627e-08,8.812e-05,9.458e-05,-39.67,-47.97,0.0327,0.1635,0.01558,-0.01712,7212000,-8546000,2.5,-2.5
PV_min_10,tm,tm,wp,16.76,14620000,58.93,3386000,1.04,6.887,-0.1881,5.25e-08,0.0001121,0.0001228,-46.75,-58.58,0.02636,0.1318,0.009097,-0.01726,4264000,-4911000,2.25,-2.5
PV_min_11,tm,tm,wp,19.95,18320000,46.62,3399000,0.7819,9.943,0.1829,4.405e-08,7.754e-05,8.194e-05,-35.38,-44.81,0.03677,0.1838,0.02073,-0.01604,10900000,-13650000,2.75,-2.5
PV_min_12,tm,tm,wp,18.22,15070000,55.15,3362000,1.029,8.144,0.2008,4.736e-08,9.251e-05,0.0001016,-39.07,-49.18,0.03053,0.1526,0.01845,-0.01208,7201000,-8854000,2.5,-2.25
PV_min_13,tm,tm,wp,15.95,13500000,63.2,3360000,1.216,6.27,0.0167,5.476e-08,0.00012,0.0001344,-45.85,-61.09,0.02413,0.1206,0.01204,-0.01209,4122000,-4860000,2.25,-2.25
PV_min_14,tm,tm,wp,19.5,16890000,50,3358000,0.8872,9.443,0.3798,4.447e-08,7.977e-05,8.621e-05,-34.85,-45.16,0.03492,0.1746,0.02366,-0.01125,11120000,-13510000,2.75,-2.25
PV_min_15,tm,tm,wp,19.38,17810000,47.41,3419000,0.7881,9.31,-0.2042,4.539e-08,8.423e-05,8.897e-05,-40.28,-46.95,0.03469,0.1735,0.01254,-0.02216,7100000,-7972000,2.5,-2.75
PV_min_16,tm,tm,wp,17.47,15720000,54.84,3407000,0.9038,7.475,-0.3961,5.061e-08,0.0001051,0.0001133,-47.8,-56.27,0.0285,0.1425,0.006046,-0.02245,4363000,-4909000,2.25,-2.75
PV_min_17,tm,tm,wp,20.36,19590000,43.13,3428000,0.6969,10.42,-0.01949,4.373e-08,7.548e-05,7.848e-05,-35.87,-44.52,0.03841,0.192,0.01757,-0.02083,10430000,-13440000,2.75,-2.75
PV_min_18,tm,tm,ws,18.85,16360000,50.26,3394000,0.8947,8.755,0.0003448,4.627e-08,8.812e-05,9.458e-05,-39.67,-47.97,0.0327,0.1635,0.01558,-0.01712,7212000,-8546000,2.5,-2.5
PV_min_19,tm,tm,ws,16.76,14620000,58.93,3386000,1.04,6.887,-0.1881,5.25e-08,0.0001121,0.0001228,-46.75,-58.58,0.02636,0.1318,0.009097,-0.01726,4264000,-4911000,2.25,-2.5
PV_min_20,tm,tm,ws,19.95,18320000,46.62,3399000,0.7819,9.943,0.1829,4.405e-08,7.754e-05,8.194e-05,-35.38,-44.81,0.03677,0.1838,0.02073,-0.01604,10900000,-13650000,2.75,-2.5
PV_min_21,tm,tm,ws,18.22,15070000,55.15,3362000,1.029,8.144,0.2008,4.736e-08,9.251e-05,0.0001016,-39.07,-49.18,0.03053,0.1526,0.01845,-0.01208,7201000,-8854000,2.5,-2.25
PV_min_22,tm,tm,ws,15.95,13500000,63.2,3360000,1.216,6.27,0.0167,5.476e-08,0.00012,0.0001344,-45.85,-61.09,0.02413,0.1206,0.01204,-0.01209,4122000,-4860000,2.25,-2.25
PV_min_23,tm,tm,ws,19.5,16890000,50,3358000,0.8872,9.443,0.3798,4.447e-08,7.977e-05,8.621e-05,-34.85,-45.16,0.03492,0.1746,0.02366,-0.01125,11120000,-13510000,2.75,-2.25
PV_min_24,tm,tm,ws,19.38,17810000,47.41,3419000,0.7881,9.31,-0.2042,4.539e-08,8.423e-05,8.897e-05,-40.28,-46.95,0.03469,0.1735,0.01254,-0.02216,7100000,-7972000,2.5,-2.75
PV_min_25,tm,tm,ws,17.47,15720000,54.84,3407000,0.9038,7.475,-0.3961,5.061e-08,0.0001051,0.0001133,-47.8,-56.27,0.0285,0.1425,0.006046,-0.02245,4363000,-4909000,2.25,-2.75
PV_min_26,tm,tm,ws,20.36,19590000,43.13,3428000,0.6969,10.42,-0.01949,4.373e-08,7.548e-05,7.848e-05,-35.87,-44.52,0.03841,0.192,0.01757,-0.02083,10430000,-13440000,2.75,-2.75
PV_min_27,tm,wp,tm,17.99,20120000,52.73,3482000,0.6978,7.93,0.03229,4.889e-08,0.000102,0.0001036,-40.39,-51.28,0.02986,0.1493,0.01484,-0.01502,6282000,-5665000,2.5,-2.5
PV_min_28,tm,wp,tm,15.63,18110000,61.52,3479000,0.8022,6.046,-0.1655,5.766e-08,0.0001332,0.0001382,-48.04,-64.16,0.02332,0.1166,0.008053,-0.01527,4070000,-4028000,2.25,-2.5
PV_min_29,tm,wp,tm,19.47,21900000,45.69,3483000,0.616,9.409,0.2227,4.481e-08,8.604e-05,8.618e-05,-35.48,-45.99,0.03479,0.174,0.02053,-0.01426,9023000,-11780000,2.75,-2.5
PV_min_30,tm,wp,tm,17.26,18650000,56.34,3449000,0.7942,7.297,0.2302,5.039e-08,0.000108,0.0001121,-40.04,-52.86,0.02767,0.1383,0.01767,-0.01,6492000,-6406000,2.5,-2.25
PV_min_31,tm,wp,tm,14.81,16420000,65.93,3452000,0.9262,5.499,0.03687,6.045e-08,0.0001433,0.0001518,-47.37,-66.77,0.02126,0.1063,0.01105,-0.01021,4010000,-4102000,2.25,-2.25
PV_min_32,tm,wp,tm,18.94,20530000,50.35,3440000,0.6925,8.853,0.4172,4.546e-08,8.93e-05,9.139e-05,-35.15,-46.61,0.03282,0.1641,0.02339,-0.009435,9756000,-12510000,2.75,-2.25
PV_min_33,tm,wp,tm,18.6,21470000,48.76,3509000,0.6206,8.514,-0.1707,4.766e-08,9.646e-05,9.669e-05,-40.76,-49.89,0.03189,0.1595,0.01182,-0.02007,6002000,-4926000,2.5,-2.75
PV_min_34,tm,wp,tm,16.4,19590000,56.4,3502000,0.7045,6.607,-0.3717,5.531e-08,0.0001241,0.000127,-48.8,-61.69,0.02532,0.1266,0.004956,-0.02036,4089000,-3932000,2.25,-2.75
PV_min_35,tm,wp,tm,19.91,23210000,42.76,3515000,0.5536,9.901,0.02114,4.43e-08,8.294e-05,8.199e-05,-35.81,-45.47,0.03656,0.1828,0.01743,-0.01912,8212000,-10350000,2.75,-2.75
PV_min_36,tm,wp,wp,17.99,20120000,52.73,3482000,0.6978,7.93,0.03229,4.889e-08,0.000102,0.0001036,-40.39,-51.28,0.02986,0.1493,0.01484,-0.01502,6282000,-5665000,2.5,-2.5
PV_min_37,tm,wp,wp,15.63,18110000,61.52,3479000,0.8022,6.046,-0.1655,5.766e-08,0.0001332,0.0001382,-48.04,-64.16,0.02332,0.1166,0.008053,-0.01527,4070000,-4028000,2.25,-2.5
PV_min_38,tm,wp,wp,19.47,21900000,45.69,3483000,0.616,9.409,0.2227,4.481e-08,8.604e-05,8.618e-05,-35.48,-45.99,0.03479,0.174,0.02053,-0.01426,9023000,-11780000,2.75,-2.5
PV_min_39,tm,wp,wp,17.26,18650000,56.34,3449000,0.7942,7.297,0.2302,5.039e-08,0.000108,0.0001121,-40.04,-52.86,0.02767,0.1383,0.01767,-0.01,6492000,-6406000,2.5,-2.25
PV_min_40,tm,wp,wp,14.81,16420000,65.93,3452000,0.9262,5.499,0.03687,6.045e-08,0.0001433,0.0001518,-47.37,-66.77,0.02126,0.1063,0.01105,-0.01021,4010000,-4102000,2.25,-2.25
PV_min_41,tm,wp,wp,18.94,20530000,50.35,3440000,0.6925,8.853,0.4172,4.546e-08,8.93e-05,9.139e-05,-35.15,-46.61,0.03282,0.1641,0.02339,-0.009435,9756000,-12510000,2.75,-2.25
PV_min_42,tm,wp,wp,18.6,21470000,48.76,3509000,0.6206,8.514,-0.1707,4.766e-08,9.646e-05,9.669e-05,-40.76,-49.89,0.03189,0.1595,0.01182,-0.02007,6002000,-4926000,2.5,-2.75
PV_min_43,tm,wp,wp,16.4,19590000,56.4,3502000,0.7045,6.607,-0.3717,5.531e-08,0.0001241,0.000127,-48.8,-61.69,0.02532,0.1266,0.004956,-0.02036,4089000,-3932000,2.25,-2.75
PV_min_44,tm,wp,wp,19.91,23210000,42.76,3515000,0.5536,9.901,0.02114,4.43e-08,8.294e-05,8.199e-05,-35.81,-45.47,0.03656,0.1828,0.01743,-0.01912,8212000,-10350000,2.75,-2.75
PV_min_45,tm,wp,ws,17.99,20120000,52.73,3482000,0.6978,7.93,0.03229,4.889e-08,0.000102,0.0001036,-40.39,-51.28,0.02986,0.1493,0.01484,-0.01502,6282000,-5665000,2.5,-2.5
PV_min_46,tm,wp,ws,15.63,18110000,61.52,3479000,0.8022,6.046,-0.1655,5.766e-08,0.0001332,0.0001382,-48.04,-64.16,0.02332,0.1166,0.008053,-0.01527,4070000,-4028000,2.25,-2.5
PV_min_47,tm,wp,ws,19.47,21900000,45.69,3483000,0.616,9.409,0.2227,4.481e-08,8.604e-05,8.618e-05,-35.48,-45.99,0.03479,0.174,0.02053,-0.01426,9023000,-11780000,2.75,-2.5
PV_min_48,tm,wp,ws,17.26,18650000,56.34,3449000,0.7942,7.297,0.2302,5.039e-08,0.000108,0.0001121,-40.04,-52.86,0.02767,0.1383,0.01767,-0.01,6492000,-6406000,2.5,-2.25
PV_min_49,tm,wp,ws,14.81,16420000,65.93,3452000,0.9262,5.499,0.03687,6.045e-08,0.0001433,0.0001518,-47.37,-66.77,0.02126,0.1063,0.01105,-0.01021,4010000,-4102000,2.25,-2.25
PV_min_50,tm,wp,ws,18.94,20530000,50.35,3440000,0.6925,8.853,0.4172,4.546e-08,8.93e-05,9.139e-05,-35.15,-46.61,0.03282,0.1641,0.02339,-0.009435,9756000,-12510000,2.75,-2.25
PV_min_51,tm,wp,ws,18.6,21470000,48.76,3509000,0.6206,8.514,-0.1707,4.766e-08,9.646e-05,9.669e-05,-40.76,-49.89,0.03189,0.1595,0.01182,-0.02007,6002000,-4926000,2.5,-2.75
PV_min_52,tm,wp,ws,16.4,19590000,56.4,3502000,0.7045,6.607,-0.3717,5.531e-08,0.0001241,0.000127,-48.8,-61.69,0.02532,0.1266,0.004956,-0.02036,4089000,-3932000,2.25,-2.75
PV_min_53,tm,wp,ws,19.91,23210000,42.76,3515000,0.5536,9.901,0.02114,4.43e-08,8.294e-05,8.199e-05,-35.81,-45.47,0.03656,0.1828,0.01743,-0.01912,8212000,-10350000,2.75,-2.75
PV_min_54,tm,ws,tm,19.66,13230000,50.53,3300000,1.198,9.613,-0.03554,4.425e-08,7.656e-05,8.7e-05,-38.94,-45.44,0.03559,0.178,0.01629,-0.0193,7466000,-9670000,2.5,-2.5
PV_min_55,tm,ws,tm,17.88,11710000,56.42,3290000,1.407,7.836,-0.2151,4.8e-08,9.351e-05,0.0001083,-44.88,-53.05,0.02986,0.1493,0.0103,-0.01956,4168000,-5381000,2.25,-2.5
PV_min_56,tm,ws,tm,20.41,14570000,46.52,3308000,1.038,10.49,0.1391,4.357e-08,7.028e-05,7.859e-05,-35.37,-44.09,0.03865,0.1933,0.02084,-0.01781,11140000,-13040000,2.75,-2.5
PV_min_57,tm,ws,tm,19.08,12210000,54.37,3270000,1.389,8.994,0.1675,4.496e-08,7.959e-05,9.252e-05,-38.05,-46.25,0.0335,0.1675,0.01922,-0.01428,7166000,-9168000,2.5,-2.25
PV_min_58,tm,ws,tm,17.11,10510000,61.46,3267000,1.658,7.172,-0.007941,4.972e-08,9.954e-05,0.000118,-43.77,-55.28,0.02751,0.1376,0.01321,-0.01431,3938000,-5093000,2.25,-2.25
PV_min_59,tm,ws,tm,20.01,13610000,49.89,3270000,1.187,10.02,0.3386,4.38e-08,7.175e-05,8.207e-05,-34.63,-44.24,0.03694,0.1847,0.02386,-0.01308,10650000,-11970000,2.75,-2.25
PV_min_60,tm,ws,tm,20.14,14180000,46.45,3323000,1.048,10.16,-0.242,4.369e-08,7.397e-05,8.256e-05,-39.83,-44.79,0.03748,0.1874,0.01319,-0.02429,7624000,-9838000,2.5,-2.75
PV_min_61,tm,ws,tm,18.58,12750000,52.87,3309000,1.212,8.492,-0.425,4.661e-08,8.834e-05,0.0001005,-46.16,-51.13,0.03206,0.1603,0.00726,-0.0248,4349000,-5577000,2.25,-2.75
PV_min_62,tm,ws,tm,20.74,15490000,44.33,3336000,0.9189,10.89,-0.06475,4.339e-08,6.896e-05,7.575e-05,-36.06,-43.95,0.04016,0.2008,0.01761,-0.02255,11330000,-13650000,2.75,-2.75
PV_min_63,tm,ws,wp,19.66,13230000,50.53,3300000,1.198,9.613,-0.03554,4.425e-08,7.656e-05,8.7e-05,-38.94,-45.44,0.03559,0.178,0.01629,-0.0193,7466000,-9670000,2.5,-2.5
PV_min_64,tm,ws,wp,17.88,11710000,56.42,3290000,1.407,7.836,-0.2151,4.8e-08,9.351e-05,0.0001083,-44.88,-53.05,0.02986,0.1493,0.0103,-0.01956,4168000,-5381000,2.25,-2.5
PV_min_65,tm,ws,wp,20.41,14570000,46.52,3308000,1.038,10.49,0.1391,4.357e-08,7.028e-05,7.859e-05,-35.37,-44.09,0.03865,0.1933,0.02084,-0.01781,11140000,-13040000,2.75,-2.5
PV_min_66,tm,ws,wp,19.08,12210000,54.37,3270000,1.389,8.994,0.1675,4.496e-08,7.959e-05,9.252e-05,-38.05,-46.25,0.0335,0.1675,0.01922,-0.01428,7166000,-9168000,2.5,-2.25
PV_min_67,tm,ws,wp,17.11,10510000,61.46,3267000,1.658,7.172,-0.007941,4.972e-08,9.954e-05,0.000118,-43.77,-55.28,0.02751,0.1376,0.01321,-0.01431,3938000,-5093000,2.25,-2.25
PV_min_68,tm,ws,wp,20.01,13610000,49.89,3270000,1.187,10.02,0.3386,4.38e-08,7.175e-05,8.207e-05,-34.63,-44.24,0.03694,0.1847,0.02386,-0.01308,10650000,-11970000,2.75,-2.25
PV_min_69,tm,ws,wp,20.14,14180000,46.45,3323000,1.048,10.16,-0.242,4.369e-08,7.397e-05,8.256e-05,-39.83,-44.79,0.03748,0.1874,0.01319,-0.02429,7624000,-9838000,2.5,-2.75
PV_min_70,tm,ws,wp,18.58,12750000,52.87,3309000,1.212,8.492,-0.425,4.661e-08,8.834e-05,0.0001005,-46.16,-51.13,0.03206,0.1603,0.00726,-0.0248,4349000,-5577000,2.25,-2.75
PV_min_71,tm,ws,wp,20.74,15490000,44.33,3336000,0.9189,10.89,-0.06475,4.339e-08,6.896e-05,7.575e-05,-36.06,-43.95,0.04016,0.2008,0.01761,-0.02255,11330000,-13650000,2.75,-2.75
PV_min_72,tm,ws,ws,19.66,13230000,50.53,3300000,1.198,9.613,-0.03554,4.425e-08,7.656e-05,8.7e-05,-38.94,-45.44,0.03559,0.178,0.01629,-0.0193,7466000,-9670000,2.5,-2.5
PV_min_73,tm,ws,ws,17.88,11710000,56.42,3290000,1.407,7.836,-0.2151,4.8e-08,9.351e-05,0.0001083,-44.88,-53.05,0.02986,0.1493,0.0103,-0.01956,4168000,-5381000,2.25,-2.5
PV_min_74,tm,ws,ws,20.41,14570000,46.52,3308000,1.038,10.49,0.1391,4.357e-08,7.028e-05,7.859e-05,-35.37,-44.09,0.03865,0.1933,0.02084,-0.01781,11140000,-13040000,2.75,-2.5
PV_min_75,tm,ws,ws,19.08,12210000,54.37,3270000,1.389,8.994,0.1675,4.496e-08,7.959e-05,9.252e-05,-38.05,-46.25,0.0335,0.1675,0.01922,-0.01428,7166000,-9168000,2.5,-2.25
PV_min_76,tm,ws,ws,17.11,10510000,61.46,3267000,1.658,7.172,-0.007941,4.972e-08,9.954e-05,0.000118,-43.77,-55.28,0.02751,0.1376,0.01321,-0.01431,3938000,-5093000,2.25,-2.25
PV_min_77,tm,ws,ws,20.01,13610000,49.89,3270000,1.187,10.02,0.3386,4.38e-08,7.175e-05,8.207e-05,-34.63,-44.24,0.03694,0.1847,0.02386,-0.01308,10650000,-11970000,2.75,-2.25
PV_min_78,tm,ws,ws,20.14,14180000,46.45,3323000,1.048,10.16,-0.242,4.369e-08,7.397e-05,8.256e-05,-39.83,-44.79,0.03748,0.1874,0.01319,-0.02429,7624000,-9838000,2.5,-2.75
PV_min_79,tm,ws,ws,18.58,12750000,52.87,3309000,1.212,8.492,-0.425,4.661e-08,8.834e-05,0.0001005,-46.16,-51.13,0.03206,0.1603,0.00726,-0.0248,4349000,-5577000,2.25,-2.75
PV_min_80,tm,ws,ws,20.74,15490000,44.33,3336000,0.9189,10.89,-0.06475,4.339e-08,6.896e-05,7.575e-05,-36.06,-43.95,0.04016,0.2008,0.01761,-0.02255,11330000,-13650000,2.75,-2.75
PV_min_81,tm,wo,tm,16.29,14130000,63.51,3371000,1.127,6.521,-0.168,5.618e-08,0.000115,0.0001304,-48.46,-60.53,0.02498,0.1249,0.008875,-0.01611,5872000,-6280000,2.5,-2.5
PV_min_82,tm,wo,tm,13.47,12590000,72.85,3363000,1.322,4.715,-0.3506,6.978e-08,0.0001587,0.0001831,-57.77,-75.73,0.01835,0.09175,0.002105,-0.01625,3553000,-3842000,2.25,-2.5
PV_min_83,tm,wo,tm,18.46,15560000,55.13,3379000,0.9763,8.378,0.009135,4.862e-08,8.952e-05,0.0001002,-41.44,-49.17,0.03135,0.1568,0.01523,-0.01612,8931000,-10550000,2.75,-2.5
PV_min_84,tm,wo,tm,15.56,13110000,67.82,3344000,1.304,6,0.03771,5.833e-08,0.0001221,0.0001413,-47.57,-63.03,0.02311,0.1156,0.01202,-0.01109,5855000,-6608000,2.5,-2.25
PV_min_85,tm,wo,tm,12.6,11440000,77.18,3341000,1.555,4.267,-0.1412,7.365e-08,0.0001706,0.0002008,-56.22,-74.14,0.01674,0.08369,0.005464,-0.01127,3423000,-3811000,2.25,-2.25
PV_min_86,tm,wo,tm,17.9,14550000,59.43,3346000,1.114,7.856,0.2117,4.966e-08,9.342e-05,0.0001068,-40.86,-50.31,0.02951,0.1475,0.01832,-0.01119,9099000,-10790000,2.75,-2.25
PV_min_87,tm,wo,tm,16.92,15120000,60.31,3392000,0.9865,7.011,-0.3774,5.439e-08,0.0001086,0.0001215,-49.45,-58.28,0.02675,0.1338,0.005603,-0.02115,5794000,-5808000,2.5,-2.75
PV_min_88,tm,wo,tm,14.23,13610000,69.66,3380000,1.141,5.147,-0.5629,6.65e-08,0.0001479,0.0001684,-59.58,-78.05,0.01993,0.09967,-0.001322,-0.02126,3637000,-3829000,2.25,-2.75
PV_min_89,tm,wo,tm,18.94,16860000,51.84,3404000,0.8651,8.849,-0.1988,4.777e-08,8.594e-05,9.496e-05,-42.04,-48.19,0.03303,0.1652,0.01195,-0.02108,8559000,-9933000,2.75,-2.75
PV_min_90,tm,wo,wp,16.29,14130000,63.51,3371000,1.127,6.521,-0.168,5.618e-08,0.000115,0.0001304,-48.46,-60.53,0.02498,0.1249,0.008875,-0.01611,5872000,-6280000,2.5,-2.5
PV_min_91,tm,wo,wp,13.47,12590000,72.85,3363000,1.322,4.715,-0.3506,6.978e-08,0.0001587,0.0001831,-57.77,-75.73,0.01835,0.09175,0.002105,-0.01625,3553000,-3842000,2.25,-2.5
PV_min_92,tm,wo,wp,18.46,15560000,55.13,3379000,0.9763,8.378,0.009135,4.862e-08,8.952e-05,0.0001002,-41.44,-49.17,0.03135,0.1568,0.01523,-0.01612,8931000,-10550000,2.75,-2.5
PV_min_93,tm,wo,wp,15.56,13110000,67.82,3344000,1.304,6,0.03771,5.833e-08,0.0001221,0.0001413,-47.57,-63.03,0.02311,0.1156,0.01202,-0.01109,5855000,-6608000,2.5,-2.25
PV_min_94,tm,wo,wp,12.6,11440000,77.18,3341000,1.555,4.267,-0.1412,7.365e-08,0.0001706,0.0002008,-56.22,-74.14,0.01674,0.08369,0.005464,-0.01127,3423000,-3811000,2.25,-2.25
PV_min_95,tm,wo,wp,17.9,14550000,59.43,3346000,1.114,7.856,0.2117,4.966e-08,9.342e-05,0.0001068,-40.86,-50.31,0.02951,0.1475,0.01832,-0.01119,9099000,-10790000,2.75,-2.25
PV_min_96,tm,wo,wp,16.92,15120000,60.31,3392000,0.9865,7.011,-0.3774,5.439e-08,0.0001086,0.0001215,-49.45,-58.28,0.02675,0.1338,0.005603,-0.02115,5794000,-5808000,2.5,-2.75
PV_min_97,tm,wo,wp,14.23,13610000,69.66,3380000,1.141,5.147,-0.5629,6.65e-08,0.0001479,0.0001684,-59.58,-78.05,0.01993,0.09967,-0.001322,-0.02126,3637000,-3829000,2.25,-2.75
PV_min_98,tm,wo,wp,18.94,16860000,51.84,3404000,0.8651,8.849,-0.1988,4.777e-08,8.594e-05,9.496e-05,-42.04,-48.19,0.03303,0.1652,0.01195,-0.02108,8559000,-9933000,2.75,-2.75
PV_min_99,tm,wo,ws,16.29,14130000,63.51,3371000,1.127,6.521,-0.168,5.618e-08,0.000115,0.0001304,-48.46,-60.53,0.02498,0.1249,0.008875,-0.01611,5872000,-6280000,2.5,-2.5
