Corner,VDD,VSS,cap_scs,mos_scs,res_scs,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PV_269,2.75,-2.75,ws,wz,wp,25.41,4675000,85.01,7129000,3.422,2.321,-2.51,2.559,-2.51,2.074e-05,0.0001924,pending,pending,pending,pending
PV_270,2.25,-2.25,tm,tm,ws,33.54,6758000,71.57,10530000,4.943,1.89,-1.841,2.096,-1.841,3.229e-05,0.0001259,1.479,-1.495,0.0299,-0.02958
PV_271,2.5,-2.25,tm,tm,ws,30.89,5715000,76.58,9687000,4.517,2.105,-1.943,2.335,-1.943,3.811e-05,0.000151,1.481,-1.5,0.03,-0.02962
PV_272,2.75,-2.25,tm,tm,ws,27.49,4367000,81.77,8883000,4.164,2.313,-1.996,2.573,-1.996,4.96e-05,0.0001992,1.481,-1.503,0.03006,-0.02963
PV_273,2.25,-2.5,tm,tm,ws,33.9,7746000,71.76,9855000,4.522,1.875,-2.101,2.085,-2.101,2.494e-05,0.0001101,1.478,-1.513,0.03027,-0.02956
PV_274,2.5,-2.5,tm,tm,ws,30.8,6199000,76.79,9029000,4.167,2.089,-2.19,2.323,-2.19,3.096e-05,0.0001388,1.48,-1.514,0.03028,-0.0296
PV_275,2.75,-2.5,tm,tm,ws,27.63,4851000,81.81,8325000,3.869,2.297,-2.238,2.561,-2.238,3.97e-05,0.0001805,1.48,-1.515,0.0303,-0.02961
PV_276,2.25,-2.75,tm,tm,ws,33.97,8525000,72.47,9237000,4.171,1.858,-2.361,2.072,-2.361,1.943e-05,9.983e-05,1.477,-1.513,0.03027,-0.02954
PV_277,2.5,-2.75,tm,tm,ws,30.6,6604000,77.34,8449000,3.872,2.072,-2.438,2.31,-2.438,2.5e-05,0.0001305,pending,pending,pending,pending
PV_278,2.75,-2.75,tm,tm,ws,27.76,5339000,81.79,7847000,3.617,2.279,-2.482,2.548,-2.482,3.119e-05,0.000165,pending,pending,pending,pending
PV_279,2.25,-2.25,wp,tm,ws,33.54,6768000,71.56,10530000,4.944,1.89,-1.841,2.096,-1.841,3.232e-05,0.0001258,1.479,-1.495,0.0299,-0.02958
PV_280,2.5,-2.25,wp,tm,ws,30.89,5722000,76.56,9679000,4.518,2.105,-1.943,2.335,-1.943,3.817e-05,0.0001509,1.481,-1.5,0.03,-0.02962
PV_281,2.75,-2.25,wp,tm,ws,27.49,4372000,81.76,8876000,4.164,2.313,-1.996,2.573,-1.996,4.967e-05,0.000199,1.481,-1.503,0.03006,-0.02963
PV_282,2.25,-2.5,wp,tm,ws,33.9,7757000,71.75,9846000,4.522,1.875,-2.101,2.085,-2.101,2.497e-05,0.00011,1.478,-1.513,0.03027,-0.02956
PV_283,2.5,-2.5,wp,tm,ws,30.8,6206000,76.77,9021000,4.168,2.089,-2.19,2.323,-2.19,3.101e-05,0.0001387,1.48,-1.514,0.03028,-0.0296
PV_284,2.75,-2.5,wp,tm,ws,27.63,4856000,81.8,8318000,3.869,2.297,-2.238,2.561,-2.238,3.977e-05,0.0001803,1.48,-1.515,0.0303,-0.02961
PV_285,2.25,-2.75,wp,tm,ws,33.97,8536000,72.46,9228000,4.172,1.858,-2.361,2.072,-2.361,1.947e-05,9.976e-05,1.477,-1.513,0.03027,-0.02954
PV_286,2.5,-2.75,wp,tm,ws,30.6,6613000,77.33,8441000,3.872,2.072,-2.438,2.31,-2.438,2.504e-05,0.0001304,pending,pending,pending,pending
PV_287,2.75,-2.75,wp,tm,ws,27.76,5345000,81.79,7841000,3.617,2.279,-2.482,2.548,-2.482,3.125e-05,0.0001649,pending,pending,pending,pending
PV_288,2.25,-2.25,ws,tm,ws,33.54,6748000,71.59,10540000,4.942,1.89,-1.841,2.096,-1.841,3.225e-05,0.000126,1.479,-1.495,0.0299,-0.02958
PV_289,2.5,-2.25,ws,tm,ws,30.89,5708000,76.59,9696000,4.517,2.105,-1.943,2.335,-1.943,3.806e-05,0.0001511,1.481,-1.5,0.03,-0.02962
PV_290,2.75,-2.25,ws,tm,ws,27.49,4363000,81.77,8890000,4.163,2.313,-1.996,2.573,-1.996,4.952e-05,0.0001993,1.481,-1.503,0.03006,-0.02963
PV_291,2.25,-2.5,ws,tm,ws,33.9,7735000,71.77,9864000,4.521,1.875,-2.101,2.085,-2.101,2.491e-05,0.0001102,1.478,-1.513,0.03027,-0.02956
PV_292,2.5,-2.5,ws,tm,ws,30.8,6192000,76.8,9037000,4.167,2.089,-2.19,2.323,-2.19,3.091e-05,0.0001389,1.48,-1.514,0.03028,-0.0296
PV_293,2.75,-2.5,ws,tm,ws,27.63,4845000,81.81,8332000,3.868,2.297,-2.238,2.561,-2.238,3.963e-05,0.0001806,pending,pending,pending,pending
PV_294,2.25,-2.75,ws,tm,ws,33.97,8513000,72.48,9246000,4.171,1.858,-2.361,2.072,-2.361,1.94e-05,9.99e-05,1.477,-1.513,0.03027,-0.02954
PV_295,2.5,-2.75,ws,tm,ws,30.6,6595000,77.34,8456000,3.871,2.072,-2.438,2.31,-2.438,2.496e-05,0.0001306,1.479,-1.514,0.03028,-0.02957
PV_296,2.75,-2.75,ws,tm,ws,27.76,5333000,81.8,7854000,3.616,2.279,-2.482,2.548,-2.482,3.113e-05,0.0001651,pending,pending,pending,pending
PV_297,2.25,-2.25,tm,wp,ws,29.26,5365000,78.31,9443000,4.355,1.887,-1.962,2.099,-1.962,2.087e-05,0.0001679,1.479,-1.508,0.03016,-0.02958
PV_298,2.5,-2.25,tm,wp,ws,25.92,4140000,83.34,8658000,3.996,2.103,-2.012,2.338,-2.012,2.726e-05,0.0002192,pending,pending,pending,pending
PV_299,2.75,-2.25,tm,wp,ws,24.06,3660000,86.57,8099000,3.695,2.311,-2.043,2.577,-2.043,3.095e-05,0.0002489,pending,pending,pending,pending
PV_300,2.25,-2.5,tm,wp,ws,28.97,5777000,78.86,8712000,3.999,1.872,-2.212,2.087,-2.212,1.69e-05,0.0001572,1.478,-1.513,0.03027,-0.02956
PV_301,2.5,-2.5,tm,wp,ws,26,4571000,83.54,8056000,3.698,2.086,-2.256,2.326,-2.256,2.147e-05,0.0001995,pending,pending,pending,pending
PV_302,2.75,-2.5,tm,wp,ws,24.39,4113000,86.23,7587000,3.444,2.294,-2.285,2.564,-2.285,2.387e-05,0.0002218,pending,pending,pending,pending
PV_303,2.25,-2.75,tm,wp,ws,28.61,6094000,79.43,8085000,3.701,1.855,-2.462,2.075,-2.462,1.368e-05,0.0001499,pending,pending,pending,pending
PV_304,2.5,-2.75,tm,wp,ws,26.07,4983000,83.68,7545000,3.446,2.068,-2.501,2.313,-2.501,1.675e-05,0.0001833,pending,pending,pending,pending
PV_305,2.75,-2.75,tm,wp,ws,24.75,4594000,86.1,7156000,3.228,2.275,-2.512,2.551,-2.529,1.816e-05,0.0001988,pending,pending,pending,pending
PV_306,2.25,-2.25,wp,wp,ws,29.26,5371000,78.3,9435000,4.356,1.887,-1.962,2.099,-1.962,2.09e-05,0.0001678,1.479,-1.508,0.03016,-0.02958
PV_307,2.5,-2.25,wp,wp,ws,25.92,4145000,83.34,8651000,3.996,2.103,-2.012,2.338,-2.012,2.731e-05,0.000219,1.481,-1.51,0.0302,-0.02961
PV_308,2.75,-2.25,wp,wp,ws,24.06,3663000,86.56,8092000,3.696,2.311,-2.043,2.577,-2.043,3.101e-05,0.0002487,pending,pending,pending,pending
PV_309,2.25,-2.5,wp,wp,ws,28.97,5785000,78.85,8704000,4,1.872,-2.212,2.087,-2.212,1.693e-05,0.0001571,1.478,-1.513,0.03027,-0.02956
PV_310,2.5,-2.5,wp,wp,ws,26,4576000,83.54,8049000,3.699,2.086,-2.256,2.326,-2.256,2.151e-05,0.0001994,pending,pending,pending,pending
PV_311,2.75,-2.5,wp,wp,ws,24.39,4117000,86.22,7581000,3.444,2.294,-2.285,2.564,-2.285,2.392e-05,0.0002217,pending,pending,pending,pending
PV_312,2.25,-2.75,wp,wp,ws,28.61,6102000,79.42,8077000,3.702,1.855,-2.462,2.075,-2.462,1.371e-05,0.0001498,pending,pending,pending,pending
PV_313,2.5,-2.75,wp,wp,ws,26.07,4988000,83.67,7539000,3.447,2.068,-2.501,2.313,-2.501,1.679e-05,0.0001832,pending,pending,pending,pending
PV_314,2.75,-2.75,wp,wp,ws,24.75,4599000,86.09,7150000,3.228,2.275,-2.512,2.551,-2.529,1.821e-05,0.0001987,pending,pending,pending,pending
PV_315,2.25,-2.25,ws,wp,ws,29.26,5358000,78.32,9452000,4.355,1.887,-1.962,2.099,-1.962,2.083e-05,0.0001681,1.479,-1.508,0.03016,-0.02958
PV_316,2.5,-2.25,ws,wp,ws,25.92,4135000,83.35,8665000,3.995,2.103,-2.012,2.338,-2.012,2.721e-05,0.0002194,pending,pending,pending,pending
PV_317,2.75,-2.25,ws,wp,ws,24.06,3656000,86.57,8105000,3.695,2.311,-2.043,2.577,-2.043,3.089e-05,0.000249,pending,pending,pending,pending
PV_318,2.25,-2.5,ws,wp,ws,28.97,5770000,78.88,8720000,3.999,1.872,-2.212,2.087,-2.212,1.687e-05,0.0001573,1.478,-1.513,0.03026,-0.02956
PV_319,2.5,-2.5,ws,wp,ws,26,4566000,83.55,8062000,3.698,2.086,-2.256,2.326,-2.256,2.142e-05,0.0001997,pending,pending,pending,pending
PV_320,2.75,-2.5,ws,wp,ws,24.39,4109000,86.23,7593000,3.443,2.294,-2.285,2.564,-2.285,2.382e-05,0.000222,pending,pending,pending,pending
PV_321,2.25,-2.75,ws,wp,ws,28.61,6087000,79.45,8092000,3.701,1.855,-2.462,2.075,-2.462,1.365e-05,0.00015,pending,pending,pending,pending
PV_322,2.5,-2.75,ws,wp,ws,26.07,4978000,83.68,7552000,3.446,2.068,-2.501,2.313,-2.501,1.671e-05,0.0001834,pending,pending,pending,pending
PV_323,2.75,-2.75,ws,wp,ws,24.75,4590000,86.1,7162000,3.228,2.275,-2.512,2.551,-2.529,1.812e-05,0.0001989,pending,pending,pending,pending
PV_324,2.25,-2.25,tm,ws,ws,33.41,5598000,70.07,11370000,5.677,1.888,-1.631,2.092,-1.631,5.786e-05,0.0001405,1.478,-1.46,0.02919,-0.02957
PV_325,2.5,-2.25,tm,ws,ws,33.43,6056000,71.14,10820000,5.164,2.103,-1.801,2.33,-1.801,5.308e-05,0.000131,1.48,-1.478,0.02957,-0.02961
PV_326,2.75,-2.25,tm,ws,ws,31.67,5617000,74.84,10090000,4.74,2.311,-1.913,2.568,-1.913,5.739e-05,0.0001453,1.481,-1.486,0.02973,-0.02962
PV_327,2.25,-2.5,tm,ws,ws,34.24,6679000,69.38,10710000,5.169,1.874,-1.886,2.081,-1.886,4.682e-05,0.0001172,1.477,-1.511,0.03023,-0.02955
PV_328,2.5,-2.5,tm,ws,ws,34,7076000,70.57,10200000,4.745,2.088,-2.053,2.318,-2.053,4.429e-05,0.0001127,1.479,-1.514,0.03028,-0.02959
PV_329,2.75,-2.5,tm,ws,ws,31.94,6324000,74.66,9490000,4.389,2.295,-2.157,2.556,-2.157,4.95e-05,0.0001292,1.48,-1.515,0.0303,-0.0296
PV_330,2.25,-2.75,tm,ws,ws,34.92,7840000,68.78,10130000,4.749,1.858,-2.149,2.069,-2.149,3.811e-05,0.0001003,1.476,-1.515,0.03029,-0.02952
PV_331,2.5,-2.75,tm,ws,ws,34.4,8040000,70.78,9644000,4.393,2.071,-2.308,2.306,-2.308,3.715e-05,9.946e-05,1.478,-1.515,0.0303,-0.02956
PV_332,2.75,-2.75,tm,ws,ws,32.08,6951000,74.81,8954000,4.089,2.278,-2.402,2.543,-2.402,4.274e-05,0.0001174,1.479,-1.516,0.03031,-0.02958
PV_333,2.25,-2.25,wp,ws,ws,33.41,5606000,70.06,11360000,5.677,1.888,-1.631,2.092,-1.631,5.792e-05,0.0001404,1.478,-1.46,0.0292,-0.02957
PV_334,2.5,-2.25,wp,ws,ws,33.43,6064000,71.13,10810000,5.164,2.103,-1.801,2.33,-1.801,5.314e-05,0.0001309,1.48,-1.479,0.02957,-0.02961
PV_335,2.75,-2.25,wp,ws,ws,31.67,5624000,74.83,10080000,4.741,2.311,-1.913,2.568,-1.913,5.745e-05,0.0001452,1.481,-1.487,0.02973,-0.02962
PV_336,2.25,-2.5,wp,ws,ws,34.24,6688000,69.36,10700000,5.17,1.874,-1.886,2.081,-1.886,4.687e-05,0.0001171,1.477,-1.511,0.03023,-0.02955
PV_337,2.5,-2.5,wp,ws,ws,34,7086000,70.55,10190000,4.745,2.088,-2.053,2.318,-2.053,4.434e-05,0.0001126,1.479,-1.514,0.03028,-0.02959
PV_338,2.75,-2.5,wp,ws,ws,31.94,6332000,74.64,9482000,4.389,2.295,-2.157,2.556,-2.157,4.956e-05,0.0001291,1.48,-1.515,0.0303,-0.0296
PV_339,2.25,-2.75,wp,ws,ws,34.92,7852000,68.77,10120000,4.75,1.858,-2.149,2.069,-2.149,3.815e-05,0.0001002,1.476,-1.515,0.03029,-0.02952
PV_340,2.5,-2.75,wp,ws,ws,34.4,8051000,70.77,9635000,4.393,2.071,-2.308,2.306,-2.308,3.72e-05,9.939e-05,1.478,-1.515,0.0303,-0.02956
PV_341,2.75,-2.75,wp,ws,ws,32.08,6959000,74.8,8946000,4.09,2.278,-2.402,2.543,-2.402,4.28e-05,0.0001173,1.479,-1.516,0.03031,-0.02958
PV_342,2.25,-2.25,ws,ws,ws,33.41,5591000,70.08,11380000,5.676,1.888,-1.631,2.092,-1.631,5.78e-05,0.0001406,1.478,-1.46,0.02919,-0.02957
PV_343,2.5,-2.25,ws,ws,ws,33.43,6048000,71.16,10830000,5.163,2.103,-1.801,2.33,-1.801,5.303e-05,0.0001311,1.48,-1.478,0.02957,-0.02961
PV_344,2.75,-2.25,ws,ws,ws,31.67,5609000,74.85,10100000,4.739,2.311,-1.913,2.568,-1.913,5.732e-05,0.0001454,1.481,-1.486,0.02973,-0.02962
PV_345,2.25,-2.5,ws,ws,ws,34.24,6670000,69.39,10720000,5.169,1.874,-1.886,2.081,-1.886,4.677e-05,0.0001172,1.477,-1.511,0.03023,-0.02955
PV_346,2.5,-2.5,ws,ws,ws,34,7066000,70.59,10210000,4.744,2.088,-2.053,2.318,-2.053,4.424e-05,0.0001128,1.479,-1.514,0.03027,-0.02959
PV_347,2.75,-2.5,ws,ws,ws,31.94,6316000,74.67,9499000,4.388,2.295,-2.157,2.556,-2.157,4.944e-05,0.0001293,1.48,-1.515,0.0303,-0.0296
PV_348,2.25,-2.75,ws,ws,ws,34.92,7828000,68.79,10130000,4.749,1.858,-2.149,2.069,-2.149,3.806e-05,0.0001004,1.476,-1.515,0.03029,-0.02952
PV_349,2.5,-2.75,ws,ws,ws,34.4,8029000,70.79,9653000,4.392,2.071,-2.308,2.306,-2.308,3.711e-05,9.953e-05,1.478,-1.515,0.0303,-0.02956
PV_350,2.75,-2.75,ws,ws,ws,32.08,6943000,74.81,8962000,4.089,2.278,-2.402,2.543,-2.402,4.268e-05,0.0001174,1.479,-1.516,0.03031,-0.02958
PV_351,2.25,-2.25,tm,wo,ws,33.43,6055000,70.5,11460000,5.326,1.838,-1.706,2.084,-1.706,5.294e-05,0.0001345,1.477,-1.497,0.02994,-0.02954
PV_352,2.5,-2.25,tm,wo,ws,32.94,6288000,72.25,10840000,4.851,2.051,-1.86,2.323,-1.86,5.108e-05,0.0001319,1.479,-1.505,0.0301,-0.02959
PV_353,2.75,-2.25,tm,wo,ws,30.25,5258000,77.25,10010000,4.458,2.259,-1.95,2.561,-1.95,6.102e-05,0.0001612,1.48,-1.508,0.03017,-0.0296
PV_354,2.25,-2.5,tm,wo,ws,34.19,7227000,69.57,10780000,4.856,1.824,-1.965,2.073,-1.965,4.244e-05,0.0001133,1.476,-1.513,0.03026,-0.02952
PV_355,2.5,-2.5,tm,wo,ws,33.34,7201000,71.89,10180000,4.462,2.036,-2.112,2.311,-2.112,4.258e-05,0.0001155,pending,pending,pending,pending
PV_356,2.75,-2.5,tm,wo,ws,30.41,5823000,77.16,9386000,4.131,2.243,-2.193,2.548,-2.193,5.236e-05,0.0001453,pending,pending,pending,pending
PV_357,2.25,-2.75,tm,wo,ws,34.78,8382000,69.6,10170000,4.466,1.808,-2.231,2.06,-2.231,3.399e-05,9.795e-05,1.475,-1.514,0.03027,-0.02949
PV_358,2.5,-2.75,tm,wo,ws,33.55,7992000,72.44,9587000,4.135,2.019,-2.366,2.298,-2.366,3.55e-05,0.0001039,1.477,-1.514,0.03028,-0.02954
PV_359,2.75,-2.75,tm,wo,ws,30.49,6342000,77.08,8833000,3.854,2.225,-2.438,2.535,-2.438,4.444e-05,0.0001331,pending,pending,pending,pending
PV_360,2.25,-2.25,wp,wo,ws,33.43,6063000,70.49,11450000,5.326,1.838,-1.706,2.084,-1.706,5.299e-05,0.0001344,1.477,-1.497,0.02995,-0.02954
PV_361,2.5,-2.25,wp,wo,ws,32.94,6297000,72.23,10830000,4.851,2.051,-1.86,2.323,-1.86,5.114e-05,0.0001318,1.479,-1.505,0.0301,-0.02959
PV_362,2.75,-2.25,wp,wo,ws,30.25,5265000,77.24,10000000,4.458,2.259,-1.95,2.561,-1.95,6.109e-05,0.0001611,1.48,-1.508,0.03017,-0.02961
PV_363,2.25,-2.5,wp,wo,ws,34.19,7238000,69.55,10770000,4.856,1.824,-1.965,2.073,-1.965,4.249e-05,0.0001132,1.476,-1.513,0.03026,-0.02952
PV_364,2.5,-2.5,wp,wo,ws,33.34,7211000,71.89,10170000,4.463,2.036,-2.112,2.311,-2.112,4.263e-05,0.0001154,1.478,-1.514,0.03028,-0.02957
PV_365,2.75,-2.5,wp,wo,ws,30.41,5830000,77.14,9378000,4.132,2.243,-2.193,2.548,-2.193,5.243e-05,0.0001452,pending,pending,pending,pending
PV_366,2.25,-2.75,wp,wo,ws,34.78,8394000,69.59,10160000,4.467,1.808,-2.231,2.06,-2.231,3.404e-05,9.788e-05,1.475,-1.514,0.03027,-0.02949
PV_367,2.5,-2.75,wp,wo,ws,33.55,8003000,72.43,9578000,4.136,2.019,-2.366,2.298,-2.366,3.554e-05,0.0001039,1.477,-1.514,0.03028,-0.02954
PV_368,2.75,-2.75,wp,wo,ws,30.49,6349000,77.07,8825000,3.854,2.225,-2.438,2.535,-2.438,4.45e-05,0.000133,pending,pending,pending,pending
PV_369,2.25,-2.25,ws,wo,ws,33.43,6047000,70.52,11470000,5.325,1.838,-1.706,2.084,-1.706,5.288e-05,0.0001346,1.477,-1.497,0.02994,-0.02954
PV_370,2.5,-2.25,ws,wo,ws,32.94,6279000,72.26,10850000,4.85,2.051,-1.86,2.323,-1.86,5.103e-05,0.000132,1.479,-1.505,0.0301,-0.02959
PV_371,2.75,-2.25,ws,wo,ws,30.25,5252000,77.26,10020000,4.457,2.259,-1.95,2.561,-1.95,6.094e-05,0.0001613,1.48,-1.508,0.03017,-0.0296
PV_372,2.25,-2.5,ws,wo,ws,34.19,7216000,69.59,10790000,4.855,1.824,-1.965,2.073,-1.965,4.239e-05,0.0001134,1.476,-1.513,0.03026,-0.02952
PV_373,2.5,-2.5,ws,wo,ws,33.34,7191000,71.9,10190000,4.461,2.036,-2.112,2.311,-2.112,4.253e-05,0.0001156,1.478,-1.514,0.03028,-0.02957
PV_374,2.75,-2.5,ws,wo,ws,30.41,5816000,77.17,9394000,4.131,2.243,-2.193,2.548,-2.193,5.229e-05,0.0001454,pending,pending,pending,pending
PV_375,2.25,-2.75,ws,wo,ws,34.78,8369000,69.61,10180000,4.466,1.808,-2.231,2.06,-2.231,3.395e-05,9.802e-05,1.475,-1.513,0.03027,-0.02949
PV_376,2.5,-2.75,ws,wo,ws,33.55,7982000,72.45,9596000,4.135,2.019,-2.366,2.298,-2.366,3.545e-05,0.000104,1.477,-1.514,0.03028,-0.02954
PV_377,2.75,-2.75,ws,wo,ws,30.49,6334000,77.1,8841000,3.853,2.225,-2.438,2.535,-2.438,4.437e-05,0.0001332,pending,pending,pending,pending
PV_378,2.25,-2.25,tm,wz,ws,30.7,5766000,75.88,9533000,4.635,1.929,-1.927,2.105,-1.927,2.291e-05,0.0001532,1.48,-1.486,0.02972,-0.0296
PV_379,2.5,-2.25,tm,wz,ws,27.08,4341000,81.6,8672000,4.248,2.147,-1.989,2.344,-1.989,3.027e-05,0.0002036,1.481,-1.491,0.02982,-0.02963
PV_380,2.75,-2.25,tm,wz,ws,24.81,3735000,85.32,8060000,3.925,2.355,-2.025,2.583,-2.025,3.552e-05,0.0002397,1.482,-1.494,0.02988,-0.02964
PV_381,2.25,-2.5,tm,wz,ws,30.52,6241000,76.38,8813000,4.252,1.914,-2.179,2.094,-2.179,1.817e-05,0.0001411,1.479,-1.514,0.03027,-0.02958
PV_382,2.5,-2.5,tm,wz,ws,27.09,4809000,81.88,8066000,3.928,2.131,-2.233,2.333,-2.233,2.379e-05,0.0001857,1.48,-1.514,0.03029,-0.02961
PV_383,2.75,-2.5,tm,wz,ws,25.11,4202000,85.06,7551000,3.655,2.339,-2.267,2.572,-2.267,2.731e-05,0.0002139,pending,pending,pending,pending
PV_384,2.25,-2.75,tm,wz,ws,30.15,6631000,77.24,8180000,3.931,1.898,-2.431,2.083,-2.431,1.459e-05,0.0001339,1.478,-1.514,0.03027,-0.02956
PV_385,2.5,-2.75,tm,wz,ws,27.08,5227000,82.11,7553000,3.658,2.114,-2.479,2.321,-2.479,1.86e-05,0.0001715,1.479,-1.514,0.03029,-0.02959
PV_386,2.75,-2.75,tm,wz,ws,25.41,4680000,85,7123000,3.423,2.321,-2.51,2.559,-2.51,2.079e-05,0.0001923,pending,pending,pending,pending
PV_387,2.25,-2.25,wp,wz,ws,30.7,5774000,75.87,9524000,4.635,1.929,-1.927,2.105,-1.927,2.294e-05,0.0001531,1.48,-1.486,0.02973,-0.0296
PV_388,2.5,-2.25,wp,wz,ws,27.08,4346000,81.6,8665000,4.248,2.147,-1.989,2.344,-1.989,3.031e-05,0.0002034,1.481,-1.491,0.02982,-0.02963
PV_389,2.75,-2.25,wp,wz,ws,24.81,3739000,85.31,8054000,3.926,2.355,-2.025,2.583,-2.025,3.558e-05,0.0002395,1.482,-1.494,0.02988,-0.02964
PV_390,2.25,-2.5,wp,wz,ws,30.52,6249000,76.37,8805000,4.252,1.914,-2.179,2.094,-2.179,1.82e-05,0.000141,1.479,-1.514,0.03027,-0.02958
PV_391,2.5,-2.5,wp,wz,ws,27.09,4815000,81.87,8059000,3.929,2.131,-2.233,2.333,-2.233,2.383e-05,0.0001856,1.48,-1.514,0.03029,-0.02961
PV_392,2.75,-2.5,wp,wz,ws,25.11,4206000,85.05,7545000,3.655,2.339,-2.267,2.572,-2.267,2.736e-05,0.0002137,1.481,-1.515,0.0303,-0.02962
PV_393,2.25,-2.75,wp,wz,ws,30.15,6640000,77.24,8173000,3.932,1.898,-2.431,2.083,-2.431,1.462e-05,0.0001338,pending,pending,pending,pending
PV_394,2.5,-2.75,wp,wz,ws,27.08,5233000,82.1,7546000,3.658,2.114,-2.479,2.321,-2.479,1.864e-05,0.0001714,1.479,-1.514,0.03029,-0.02959
PV_395,2.75,-2.75,wp,wz,ws,25.41,4684000,85,7117000,3.423,2.321,-2.51,2.559,-2.51,2.083e-05,0.0001922,pending,pending,pending,pending
PV_396,2.25,-2.25,ws,wz,ws,30.7,5759000,75.89,9541000,4.634,1.929,-1.927,2.105,-1.927,2.287e-05,0.0001534,1.48,-1.486,0.02972,-0.0296
PV_397,2.5,-2.25,ws,wz,ws,27.08,4335000,81.61,8679000,4.247,2.147,-1.989,2.344,-1.989,3.022e-05,0.0002037,1.481,-1.491,0.02981,-0.02963
PV_398,2.75,-2.25,ws,wz,ws,24.81,3731000,85.33,8067000,3.925,2.355,-2.025,2.583,-2.025,3.546e-05,0.0002399,1.482,-1.494,0.02988,-0.02964
PV_399,2.25,-2.5,ws,wz,ws,30.52,6234000,76.4,8821000,4.251,1.914,-2.179,2.094,-2.179,1.814e-05,0.0001412,pending,pending,pending,pending
PV_400,2.5,-2.5,ws,wz,ws,27.09,4804000,81.89,8073000,3.928,2.131,-2.233,2.333,-2.233,2.375e-05,0.0001858,1.48,-1.514,0.03029,-0.02961
PV_401,2.75,-2.5,ws,wz,ws,25.11,4198000,85.06,7557000,3.654,2.339,-2.267,2.572,-2.267,2.726e-05,0.000214,1.481,-1.515,0.0303,-0.02962
PV_402,2.25,-2.75,ws,wz,ws,30.15,6622000,77.25,8188000,3.931,1.898,-2.431,2.083,-2.431,1.457e-05,0.000134,1.478,-1.514,0.03027,-0.02956
PV_403,2.5,-2.75,ws,wz,ws,27.08,5221000,82.12,7559000,3.657,2.114,-2.479,2.321,-2.479,1.856e-05,0.0001716,1.479,-1.514,0.03029,-0.02959
PV_404,2.75,-2.75,ws,wz,ws,25.41,4675000,85.01,7129000,3.422,2.321,-2.51,2.559,-2.51,2.074e-05,0.0001924,pending,pending,pending,pending
